operacao,custo,total,media
117,630,73736,630.2222222222222
118,630,74366,630.2203389830509
119,632,74998,630.2352941176471
120,630,75628,630.2333333333333
121,630,76258,630.2314049586777
122,630,76888,630.2295081967213
123,631,77519,630.2357723577236
124,630,78149,630.233870967742
125,630,78779,630.232
126,631,79410,630.2380952380952
127,631,80041,630.2440944881889
128,630,80671,630.2421875
129,630,81301,630.2403100775193
130,633,81934,630.2615384615384
131,631,82565,630.2671755725191
132,630,83195,630.2651515151515
133,638,83833,630.3233082706766
134,630,84463,630.320895522388
135,630,85093,630.3185185185185
136,630,85723,630.3161764705883
137,630,86353,630.3138686131387
138,630,86983,630.3115942028985
139,630,87613,630.3093525179856
140,630,88243,630.3071428571428
141,630,88873,630.3049645390071
142,630,89503,630.3028169014085
143,631,90134,630.3076923076923
144,630,90764,630.3055555555555
145,630,91394,630.303448275862
146,630,92024,630.3013698630137
147,630,92654,630.2993197278912
148,630,93284,630.2972972972973
149,630,93914,630.2953020134228
150,631,94545,630.3
151,630,95175,630.2980132450331
152,630,95805,630.296052631579
153,2,95807,626.1895424836601
154,635,96442,626.2467532467532
155,630,97072,626.2709677419355
156,630,97702,626.2948717948718
157,630,98332,626.3184713375796
158,630,98962,626.3417721518987
159,630,99592,626.3647798742138
160,630,100222,626.3875
161,630,100852,626.4099378881988
162,631,101483,626.4382716049382
163,630,102113,626.4601226993865
164,630,102743,626.4817073170732
165,630,103373,626.5030303030303
166,632,104005,626.5361445783133
167,630,104635,626.556886227545
168,631,105266,626.5833333333334
169,631,105897,626.6094674556213
170,630,106527,626.6294117647059
171,630,107157,626.6491228070175
172,630,107787,626.6686046511628
173,630,108417,626.6878612716763
174,630,109047,626.7068965517242
175,630,109677,626.7257142857143
176,630,110307,626.7443181818181
177,632,110939,626.7740112994351
178,630,111569,626.7921348314607
179,630,112199,626.8100558659218
180,631,112830,626.8333333333334
181,630,113460,626.8508287292817
182,631,114091,626.8736263736264
183,631,114722,626.896174863388
184,631,115353,626.9184782608696
185,631,115984,626.9405405405405
186,630,116614,626.9569892473119
187,630,117244,626.9732620320856
188,630,117874,626.9893617021277
189,631,118505,627.010582010582
190,630,119135,627.0263157894736
191,630,119765,627.041884816754
192,630,120395,627.0572916666666
193,631,121026,627.0777202072538
194,630,121656,627.0927835051547
195,630,122286,627.1076923076923
196,630,122916,627.1224489795918
197,630,123546,627.1370558375635
198,630,124176,627.1515151515151
199,631,124807,627.1708542713568
200,630,125437,627.185
201,631,126068,627.2039800995025
202,630,126698,627.2178217821782
203,633,127331,627.2463054187192
204,632,127963,627.2696078431372
205,631,128594,627.2878048780487
206,630,129224,627.3009708737864
207,630,129854,627.3140096618357
208,630,130484,627.3269230769231
209,630,131114,627.3397129186603
210,631,131745,627.3571428571429
211,634,132379,627.388625592417
212,630,133009,627.4009433962265
213,630,133639,627.413145539906
214,631,134270,627.4299065420561
215,630,134900,627.4418604651163
216,631,135531,627.4583333333334
217,630,136161,627.4700460829494
218,630,136791,627.4816513761468
219,631,137422,627.4977168949772
220,630,138052,627.5090909090909
221,631,138683,627.5248868778281
222,632,139315,627.5450450450451
223,634,139949,627.5739910313902
224,630,140579,627.5848214285714
225,630,141209,627.5955555555555
226,630,141839,627.6061946902655
227,630,142469,627.6167400881058
228,632,143101,627.6359649122807
229,630,143731,627.646288209607
230,634,144365,627.6739130434783
231,630,144995,627.6839826839827
232,631,145626,627.698275862069
233,630,146256,627.7081545064377
234,633,146889,627.7307692307693
235,630,147519,627.7404255319149
236,631,148150,627.7542372881356
237,632,148782,627.7721518987341
238,630,149412,627.781512605042
239,630,150042,627.7907949790795
240,631,150673,627.8041666666667
241,631,151304,627.8174273858921
